Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/16/2023,Monday,64.45,Stuff for the house (pets),Housing,Cash
1/17/2023,Tuesday,2.36,Gas station food,Food,Debit
1/18/2023,Wednesday,40,Fast food ,Food,Cash
1/19/2023,Thursday,30,Gas,Travel,Cash
1/20/2023,Friday,20,Fast food,Food,Cash
1/21/2023,Saturday,17.35,Needs for the house ,Housing,Debit
1/22/2023,Sunday,146.62,Groceries ,Housing,Debit
1/23/2023,Monday,0,,,
1/24/2023,Tuesday,0,,,
1/25/2023,Wednesday,1.75,Gas station food,Travel,Debit
1/26/2023,Thursday,82.75,Groceries ,Food,Debit
1/27/2023,Friday,35.42,Needs for the house,Housing,Debit
1/28/2023,Saturday,0,,,
1/29/2023,Sunday,0,,,
1/30/2023,Monday,22.03,Fast food,Food,Cash
1/31/2023,Tuesday,28.55,Gas,Travel,Debit
2/1/2023,Wednesday,2,Redbox movie ,Entertainment and Recreation,Cash
2/2/2023,Thursday,30,food ,Food,Debit
2/3/2023,Friday,30.56,groceries ,Housing,Debit
2/4/2023,Saturday,30,pets,Housing,
2/5/2023,Sunday,5,gas,Travel,Cash
